DATE,IC4WSA
1988-10-01,295050.000000000000
1988-11-01,289125.000000000000
1988-12-01,292800.000000000000
1989-01-01,292562.500000000000
1989-02-01,297500.000000000000
1989-03-01,316500.000000000000
1989-04-01,315400.000000000000
1989-05-01,318187.500000000000
1989-06-01,328562.500000000000
1989-07-01,341400.000000000000
1989-08-01,336562.500000000000
1989-09-01,333400.000000000000
1989-10-01,359625.000000000000
1989-11-01,340937.500000000000
1989-12-01,347350.000000000000
1990-01-01,363312.500000000000
1990-02-01,360812.500000000000
1990-03-01,348400.000000000000
1990-04-01,354437.500000000000
1990-05-01,357000.000000000000
1990-06-01,360550.000000000000
1990-07-01,364562.500000000000
1990-08-01,375812.500000000000
1990-09-01,392200.000000000000
1990-10-01,411062.500000000000
1990-11-01,439500.000000000000
1990-12-01,453550.000000000000
1991-01-01,442500.000000000000
1991-02-01,470750.000000000000
1991-03-01,494200.000000000000
1991-04-01,479375.000000000000
1991-05-01,456250.000000000000
1991-06-01,435700.000000000000
1991-07-01,419750.000000000000
1991-08-01,428950.000000000000
1991-09-01,423937.500000000000
1991-10-01,424937.500000000000
1991-11-01,439050.000000000000
1991-12-01,456062.500000000000
1992-01-01,440312.500000000000
1992-02-01,442150.000000000000
1992-03-01,434062.500000000000
1992-04-01,421000.000000000000
1992-05-01,420300.000000000000
1992-06-01,416062.500000000000
1992-07-01,419875.000000000000
1992-08-01,430350.000000000000
1992-09-01,412250.000000000000
1992-10-01,391950.000000000000
1992-11-01,368500.000000000000
1992-12-01,348250.000000000000
1993-01-01,341200.000000000000
1993-02-01,334812.500000000000
1993-03-01,350312.500000000000
1993-04-01,355687.500000000000
1993-05-01,345050.000000000000
1993-06-01,344187.500000000000
1993-07-01,341800.000000000000
1993-08-01,353437.500000000000
1993-09-01,337750.000000000000
1993-10-01,346950.000000000000
1993-11-01,346437.500000000000
1993-12-01,332875.000000000000
1994-01-01,338750.000000000000
1994-02-01,363250.000000000000
1994-03-01,340000.000000000000
1994-04-01,340150.000000000000
1994-05-01,354625.000000000000
1994-06-01,345312.500000000000
1994-07-01,341600.000000000000
1994-08-01,337812.500000000000
1994-09-01,334125.000000000000
1994-10-01,331900.000000000000
1994-11-01,329250.000000000000
1994-12-01,325850.000000000000
1995-01-01,330125.000000000000
1995-02-01,333187.500000000000
1995-03-01,341062.500000000000
1995-04-01,344250.000000000000
1995-05-01,364375.000000000000
1995-06-01,369062.500000000000
1995-07-01,370150.000000000000
1995-08-01,360500.000000000000
1995-09-01,362350.000000000000
1995-10-01,366187.500000000000
1995-11-01,374937.500000000000
1995-12-01,368350.000000000000
1996-01-01,366125.000000000000
1996-02-01,382000.000000000000
1996-03-01,378050.000000000000
1996-04-01,377562.500000000000
1996-05-01,347687.500000000000
1996-06-01,344000.000000000000
1996-07-01,339687.500000000000
1996-08-01,331550.000000000000
1996-09-01,337187.500000000000
1996-10-01,340625.000000000000
